dylib_name,device_name,usb_vid,usb_pid,paired_pid,protocol,device_type,has_battery,has_sidetone,has_eq,has_lighting
libk70_rgb_rapidfire.dylib,K70 RGB RAPIDFIRE,0x1B1C,0x1B38,,NXP,Keyboard,false,false,false,true
libk70_rgb_se_rapidfire.dylib,K70 RGB SE RAPIDFIRE,0x1B1C,0x1B59,,NXP,Keyboard,false,false,false,true
libk70_rgb_tkl.dylib,K70 RGB TKL Champion Series,0x1B1C,0x1B73,,Bragi,Keyboard,false,false,false,true
libk83_wireless.dylib,K83 WIRELESS,0x1B1C,0x1B42,,NXP,Keyboard,true,false,false,true
libk95_rgb.dylib,K95 RGB,0x1B1C,0x1B11,,NXP,Keyboard,false,false,false,true
libk95_rgb_platinum.dylib,K95 RGB PLATINUM,0x1B1C,0x1B2D,,NXP,Keyboard,false,false,false,true
libk95_rgb_platinum_se.dylib,K95 RGB PLATINUM SE,0x1B1C,0x1B82,,NXP,Keyboard,false,false,false,true
libk95_rgb_platinum_xt.dylib,K95 RGB PLATINUM XT,0x1B1C,0x1B89,,Bragi,Keyboard,false,false,false,true
libkatar.dylib,KATAR,0x1B1C,0x1B22,,NXP,Mouse,false,false,false,true
libkatar_elite_wireless.dylib,KATAR ELITE Wireless,0x1B1C,0x1BBA,,Bragi,Mouse,true,false,false,true
libkatar_pro.dylib,KATAR PRO,0x1B1C,0x1B93,,Bragi,Mouse,false,false,false,true
libkatar_pro_wireless.dylib,KATAR PRO WIRELESS,0x1B1C,0x1BAE,0x1B94,Bragi,Mouse,true,false,false,true
libkatar_pro_wireless_dongle.dylib,KATAR PRO WIRELESS RECEIVER,0x1B1C,0x1B94,,Bragi,Dongle,false,false,false,true
libkatar_pro_xt.dylib,KATAR PRO XT,0x1B1C,0x1BAC,,Bragi,Mouse,false,false,false,true
libm55_rgb_pro.dylib,M55 RGB PRO,0x1B1C,0x1B70,,Bragi,Mouse,false,false,false,true
libm65_pro_rgb.dylib,M65 PRO RGB,0x1B1C,0x1B2E,,NXP,Mouse,false,false,false,true
libm65_rgb.dylib,M65 RGB,0x1B1C,0x1B12,,NXP,Mouse,false,false,false,true
libm65_rgb_elite.dylib,M65 RGB ELITE,0x1B1C,0x1B5A,,NXP,Mouse,false,false,false,true
libm65_rgb_elite_ig.dylib,M65 RGB ELITE IG,0x1B1C,0x1B88,,NXP,Mouse,false,false,false,true
libm65_rgb_ultra.dylib,M65 RGB ULTRA,0x1B1C,0x1B9E,,Bragi,Mouse,false,false,false,true
libm65_rgb_ultra_wireless.dylib,M65 RGB ULTRA Wireless,0x1B1C,0x1BB5,,Bragi,Mouse,true,false,false,true
libm65_rgb_ultra_wireless_white.dylib,M65 RGB ULTRA Wireless,0x1B1C,0x1BD6,,Bragi,Mouse,true,false,false,true
libmm700_rgb.dylib,MM700 RGB,0x1B1C,0x1B9B,,Bragi,MouseMat,false,false,false,true
libmm700_rgb_galangal.dylib,MM700 RGB,0x1B1C,0x1BC9,,Bragi,MouseMat,false,false,false,true
libmm800_rgb.dylib,MM800 RGB POLARIS,0x1B1C,0x1B3B,,NXP,MouseMat,false,false,false,true
libnanoleaf.dylib,NANOLEAF,0x-401,0x-401,,Nanoleaf,Nanoleaf,false,true,false,true
libnightsword_rgb.dylib,NIGHTSWORD RGB,0x1B1C,0x1B5C,,NXP,Mouse,false,false,false,true
libsabre.dylib,SABRE,0x1B1C,0x1B32,,NXP,Mouse,false,false,false,true
libsabre_1.dylib,SABRE RGB OPTICAL,0x1B1C,0x1B14,,NXP,Mouse,false,false,false,true
